project_id,reporting_month,sector,state,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,future_3m_cost_revision,future_6m_cost_revision,future_3m_progress_stall,future_6m_progress_stall
619060,2026-05,,Assam,344.71,619.7,46.37,62.9,0,0,0,1
619060,2026-05,,Assam,344.71,619.7,46.37,62.9,0,0,0,1
619060,2026-06,,Assam,344.71,619.7,54.48,72.0,0,0,1,1
619060,2026-06,,Assam,344.71,619.7,54.48,72.0,0,0,1,1
619060,2026-07,,Assam,344.71,619.7,56.58,72.0,0,0,1,1
619089,2026-01,,Assam,1909.98,2745.74,1170.02,89.0,0,0,1,1
619089,2026-02,,Assam,1909.98,2745.74,1170.13,89.0,0,0,1,1
619089,2026-03,,Assam,1909.98,2745.74,1170.13,93.08,0,0,1,1
619089,2026-04,,Assam,1909.98,2745.74,1307.33,93.08,0,0,1,1
619089,2026-05,,Assam,1909.98,2745.74,1340.44,94.59,0,0,1,1
619089,2026-06,,Assam,1909.98,2745.74,1386.87,94.59,0,0,1,1
617897,2025-12,,Bihar,295.24,295.24,33.07,73.0,0,0,1,1
617897,2026-01,,Bihar,295.24,295.24,33.07,79.0,0,0,1,1
617897,2026-02,,Bihar,295.24,295.24,33.07,79.0,0,0,1,1
617897,2026-03,,Bihar,295.24,295.24,33.07,80.36,0,0,1,1
617897,2026-04,,Bihar,295.24,295.24,33.07,81.7,0,0,1,1
617897,2026-05,,Bihar,295.24,295.24,33.07,83.48,0,0,1,1
617897,2026-06,,Bihar,295.24,295.24,44.18,86.02,0,0,1,1
617958,2025-12,,Bihar,566.1,566.1,221.6,37.0,0,0,0,0
617958,2026-01,,Bihar,566.1,566.1,221.6,79.0,0,0,0,1
617958,2026-02,,Bihar,566.1,566.1,236.78,79.0,0,0,0,1
617958,2026-03,,Bihar,566.1,566.1,248.41,91.0,0,0,1,1
617958,2026-04,,Bihar,566.1,566.1,251.12,95.0,0,0,1,1
617958,2026-05,,Bihar,566.1,566.1,253.68,95.01,0,0,1,1
617958,2026-06,,Bihar,566.1,566.1,292.35,95.1,0,0,1,1
617959,2025-12,,Bihar,477.54,477.54,311.39,95.0,0,0,1,1
617959,2026-01,,Bihar,477.54,477.54,311.39,95.0,0,0,1,1
617959,2026-02,,Bihar,477.54,477.54,311.39,95.0,0,0,1,1
617959,2026-03,,Bihar,477.54,477.54,311.39,95.66,0,0,1,1
617959,2026-04,,Bihar,477.54,477.54,311.39,95.66,0,0,1,1
617961,2025-12,,Bihar,1408.85,2138.16,0.0,0.0,0,0,0,0
617961,2026-02,,Bihar,1408.85,2138.16,0.0,97.0,0,0,1,1
617961,2026-03,,Bihar,1408.85,2138.16,0.0,97.0,0,0,1,1
617961,2026-04,,Bihar,1408.85,2138.16,0.0,97.0,0,0,1,1
617961,2026-05,,Bihar,1408.85,2138.16,0.0,97.0,0,0,1,1
617961,2026-06,,Bihar,1408.85,2138.16,0.0,97.0,0,0,1,1
617966,2025-12,,Bihar,780.77,961.33,0.0,0.0,0,0,0,0
617966,2026-02,,Bihar,780.77,961.33,0.0,99.0,0,0,1,1
617966,2026-03,,Bihar,780.77,961.33,0.04,99.74,0,0,1,1
617966,2026-04,,Bihar,780.77,961.33,0.04,99.74,0,0,1,1
617966,2026-05,,Bihar,780.77,961.33,0.04,99.74,0,0,1,1
617966,2026-06,,Bihar,780.77,961.33,0.04,99.74,0,0,1,1
617969,2025-12,,Bihar,201.08,201.08,0.01,32.0,0,0,0,0
617969,2026-02,,Bihar,201.08,201.08,0.01,50.0,0,0,0,0
617969,2026-03,,Bihar,201.08,201.08,0.01,52.0,0,0,0,0
617969,2026-04,,Bihar,201.08,201.08,0.01,58.0,0,0,1,1
617969,2026-05,,Bihar,201.08,201.08,0.01,60.0,0,0,1,1
617969,2026-06,,Bihar,201.08,201.08,0.01,62.0,0,0,1,1
618004,2025-12,,Bihar,179.86,179.86,0.0,0.0,0,0,1,1
618004,2026-02,,Bihar,179.86,179.86,0.0,0.0,0,0,1,1
618004,2026-03,,Bihar,179.86,179.86,0.0,0.05,0,0,1,1
618004,2026-04,,Bihar,179.86,179.86,0.0,0.05,0,0,1,1
618004,2026-05,,Bihar,179.86,179.86,0.0,0.05,0,0,1,1
618004,2026-06,,Bihar,179.86,179.86,2.37,2.0,0,0,1,1
618005,2025-12,,Bihar,178.85,278.53,0.0,98.0,0,0,1,1
618005,2026-02,,Bihar,178.85,278.53,0.0,98.0,0,0,1,1
618005,2026-03,,Bihar,178.85,278.53,0.0,98.65,0,0,1,1
618005,2026-04,,Bihar,178.85,278.53,0.0,98.65,0,0,1,1
618005,2026-05,,Bihar,178.85,278.53,0.0,98.65,0,0,1,1
618006,2025-12,,Bihar,369.77,503.28,0.0,98.0,0,0,1,1
618006,2026-02,,Bihar,369.77,503.28,0.0,98.0,0,0,1,1
618006,2026-03,,Bihar,369.77,503.28,0.0,98.78,0,0,1,1
618006,2026-04,,Bihar,369.77,503.28,0.0,98.78,0,0,1,1
618007,2025-12,,Bihar,553.3,706.39,0.0,99.0,0,0,1,1
618007,2026-02,,Bihar,553.3,706.39,0.0,99.0,0,0,1,1
618007,2026-03,,Bihar,553.3,706.39,0.0,99.0,0,0,1,1
618007,2026-04,,Bihar,553.3,706.39,0.0,99.0,0,0,1,1
618073,2025-12,,Bihar,226.16,226.16,0.0,0.0,0,0,0,0
618073,2026-02,,Bihar,226.16,226.16,0.0,32.0,0,0,0,0
618073,2026-03,,Bihar,226.16,226.16,0.0,44.0,0,0,0,0
618073,2026-04,,Bihar,226.16,226.16,0.0,44.0,0,0,0,0
618073,2026-05,,Bihar,226.16,226.16,0.0,50.0,0,0,0,0
618073,2026-06,,Bihar,226.16,226.16,0.0,53.0,0,0,0,0
618074,2025-12,,Bihar,624.43,624.43,153.21,90.0,0,0,1,1
618074,2026-02,,Bihar,624.43,624.43,153.21,90.0,0,0,1,1
618074,2026-03,,Bihar,624.43,624.43,153.21,90.7,0,0,1,1
618074,2026-04,,Bihar,624.43,624.43,153.21,91.0,0,0,1,1
618074,2026-05,,Bihar,624.43,624.43,153.21,94.0,0,0,1,1
618074,2026-06,,Bihar,624.43,624.43,154.25,95.0,0,0,1,1
618080,2025-12,,Bihar,353.27,353.27,0.0,2.0,0,0,1,1
618080,2026-02,,Bihar,353.27,353.27,0.0,3.0,0,0,1,1
618080,2026-03,,Bihar,353.27,353.27,0.0,3.1,0,0,1,1
618080,2026-04,,Bihar,353.27,353.27,0.0,3.1,0,0,1,1
618080,2026-05,,Bihar,353.27,353.27,0.0,3.1,0,0,1,1
618080,2026-06,,Bihar,353.27,353.27,0.0,7.0,0,0,1,1
618120,2026-01,,Bihar,1060.16,,,,0,0,,
618120,2026-02,,Bihar,1060.16,1060.16,0.0,0.0,0,0,1,1
618120,2026-03,,Bihar,1060.16,1060.16,0.0,0.0,0,0,1,1
618120,2026-04,,Bihar,1060.16,1060.16,0.0,0.0,0,0,1,1
618120,2026-05,,Bihar,1060.16,1060.16,0.0,0.0,0,0,1,1
618120,2026-06,,Bihar,1060.16,1060.16,0.0,4.0,0,0,1,1
618121,2025-12,,Bihar,427.29,427.29,176.32,0.0,0,0,0,0
618121,2026-02,,Bihar,427.29,427.29,176.32,92.0,0,0,1,1
618121,2026-03,,Bihar,427.29,427.29,178.43,93.0,0,0,1,1
618121,2026-04,,Bihar,427.29,427.29,178.43,93.0,0,0,1,1
618121,2026-05,,Bihar,427.29,427.29,178.43,93.0,0,0,1,1
618121,2026-06,,Bihar,427.29,427.29,198.15,93.0,0,0,1,1
618126,2026-02,,Bihar,479.37,479.37,0.0,22.0,0,0,0,0
618126,2026-02,,Bihar,479.37,,,,0,0,,
618126,2026-03,,Bihar,479.37,479.37,0.0,55.0,0,0,1,1
618126,2026-04,,Bihar,479.37,479.37,0.0,58.0,0,0,1,1
618126,2026-05,,Bihar,479.37,479.37,11.75,58.0,0,0,1,1
618126,2026-06,,Bihar,479.37,479.37,67.37,58.1,0,0,1,1
618146,2025-12,,Bihar,495.16,495.16,0.0,0.0,0,0,0,0
618146,2026-02,,Bihar,495.16,495.16,0.0,26.0,0,0,0,0
618146,2026-03,,Bihar,495.16,495.16,0.0,32.0,0,0,1,1
618146,2026-04,,Bihar,495.16,495.16,0.0,33.0,0,0,1,1
618146,2026-05,,Bihar,495.16,495.16,0.0,36.0,0,0,1,1
618146,2026-06,,Bihar,495.16,495.16,0.0,37.0,0,0,1,1
618228,2025-12,,Bihar,2926.42,2926.42,0.0,66.0,0,0,1,1
618228,2026-02,,Bihar,2926.42,2926.42,0.0,69.0,0,0,1,1
618228,2026-03,,Bihar,2926.42,2926.42,0.0,70.41,0,0,1,1
618228,2026-04,,Bihar,2926.42,2926.42,0.0,72.51,0,0,1,1
618228,2026-05,,Bihar,2926.42,2926.42,0.0,73.69,0,0,1,1
618228,2026-06,,Bihar,2926.42,2926.42,0.0,74.93,0,0,1,1
618234,2025-12,,Bihar,1478.4,1478.4,753.21,86.0,0,0,0,1
618234,2026-02,,Bihar,1478.4,1478.4,776.74,88.0,0,0,0,1
618234,2026-03,,Bihar,1478.4,1478.4,823.92,90.9,0,0,1,1
618234,2026-04,,Bihar,1478.4,1478.4,823.93,94.2,0,0,1,1
618234,2026-05,,Bihar,1478.4,1478.4,824.29,96.1,0,0,1,1
618234,2026-06,,Bihar,1478.4,1478.4,901.32,97.5,0,0,1,1
618246,2025-12,,Bihar,1110.23,1110.23,0.0,44.0,0,0,1,1
618246,2026-02,,Bihar,1110.23,1110.23,0.0,44.0,0,0,1,1
618246,2026-03,,Bihar,1110.23,1110.23,0.0,48.74,0,0,1,1
618246,2026-04,,Bihar,1110.23,1110.23,0.0,49.78,0,0,1,1
618246,2026-05,,Bihar,1110.23,1110.23,0.0,50.78,0,0,1,1
618246,2026-06,,Bihar,1110.23,1110.23,0.0,51.91,0,0,1,1
618250,2025-12,,Bihar,3064.45,3064.45,0.0,8.0,0,0,1,1
618250,2026-02,,Bihar,3064.45,3064.45,0.0,9.0,0,0,1,1
618250,2026-03,,Bihar,3064.45,3064.45,0.0,10.24,0,0,1,1
618250,2026-04,,Bihar,3064.45,3064.45,0.0,10.69,0,0,1,1
618250,2026-05,,Bihar,3064.45,3064.45,0.0,15.83,0,0,1,1
618250,2026-06,,Bihar,3064.45,3064.45,0.0,17.24,0,0,1,1
618251,2026-01,,Bihar,1661.25,,,,0,0,,
618251,2026-02,,Bihar,1661.25,1661.25,0.0,2.0,0,0,1,1
618251,2026-03,,Bihar,1661.25,1661.25,0.0,5.03,0,0,1,1
618251,2026-04,,Bihar,1661.25,1661.25,0.0,5.52,0,0,1,1
618251,2026-05,,Bihar,1661.25,1661.25,0.0,6.05,0,0,1,1
618251,2026-06,,Bihar,1661.25,1661.25,0.83,7.89,0,0,1,1
618569,2025-12,,Bihar,210.05,358.3,99.85,63.0,0,0,1,1
618569,2026-02,,Bihar,210.05,358.3,104.51,63.0,0,0,1,1
